,prediction
964,0
965,0
966,1
967,0
968,1
969,0
970,0
971,1
972,1
973,0
974,0
975,1
976,1
977,0
978,1
979,1
980,1
981,0
982,0
983,1
984,1
985,0
986,1
987,1
988,0
989,0
990,2
991,2
992,1
993,1
994,1
995,2
996,0
997,2
998,1
999,1
1000,1
1001,0
1002,1
1003,0
1004,1
1005,1
1006,0
1007,0
1008,0
1009,0
1010,0
1011,1
1012,1
1013,1
1014,2
1015,0
1016,0
1017,1
1018,2
1019,2
1020,1
1021,2
1022,1
1023,2
1024,1
1025,1
1026,2
1027,1
1028,1
1029,2
1030,0
1031,1
1032,1
1033,1
1034,1
1035,1
1036,2
1037,1
1038,0
1039,2
1040,1
1041,2
1042,0
1043,1
1044,1
1045,1
1046,2
1047,1
1048,1
1049,1
1050,2
1051,0
1052,0
1053,0
1054,0
1055,2
1056,2
1057,1
1058,2
1059,2
1060,0
1061,1
1062,2
1063,2
1064,2
1065,1
1066,1
1067,2
1068,1
1069,2
1070,1
1071,1
1072,1
1073,1
1074,1
1075,1
1076,0
1077,0
1078,1
1079,0
1080,1
1081,2
1082,1
1083,1
1084,1
1085,2
1086,1
1087,1
1088,2
1089,1
1090,0
1091,1
1092,0
1093,1
1094,1
1095,1
1096,1
1097,0
1098,1
1099,1
1100,1
1101,2
1102,1
1103,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,0
1110,1
1111,1
1112,1
1113,0
1114,0
1115,0
1116,0
1117,0
1118,0
1119,0
1120,1
1121,1
1122,1
1123,1
1124,2
1125,2
1126,1
1127,1
1128,1
1129,0
1130,1
1131,1
1132,1
1133,1
1134,1
1135,1
1136,1
1137,1
1138,0
1139,1
1140,2
1141,2
1142,1
1143,2
1144,1
1145,1
1146,0
1147,0
1148,0
1149,1
1150,0
1151,0
1152,2
1153,2
1154,1
1155,1
1156,1
1157,1
1158,1
1159,1
1160,1
1161,1
1162,1
1163,1
1164,1
1165,1
1166,1
1167,1
1168,0
1169,1
1170,2
1171,1
1172,0
1173,0
1174,0
1175,0
1176,1
1177,1
1178,1
1179,1
1180,0
1181,0
1182,0
1183,0
1184,1
1185,2
1186,0
1187,2
1188,2
1189,1
1190,1
1191,1
1192,0
1193,1
1194,0
1195,1
1196,0
1197,1
1198,0
1199,1
1200,1
1201,1
1202,0
1203,1
1204,0
1205,1
1206,1
1207,1
1208,1
1209,1
1210,0
1211,1
1212,0
1213,1
1214,1
1215,1
1216,1
1217,1
1218,1
1219,1
1220,0
1221,1
1222,1
1223,1
1224,0
1225,0
1226,1
1227,0
1228,1
1229,0
1230,2
1231,1
1232,0
1233,1
1234,1
1235,1
1236,1
1237,2
1238,1
1239,1
1240,0
1241,1
1242,1
1243,1
1244,1
1245,1
1246,1
1247,2
1248,2
1249,1
1250,2
1251,1
1252,1
1253,1
1254,1
1255,0
1256,1
1257,2
1258,0
1259,1
1260,1
1261,1
1262,1
1263,1
1264,1
1265,1
1266,0
1267,0
1268,1
1269,1
1270,1
1271,1
1272,1
1273,1
1274,0
1275,1
1276,1
1277,1
1278,1
1279,1
1280,2
1281,1
1282,1
1283,1
1284,1
1285,1
1286,2
1287,1
1288,0
1289,1
1290,0
1291,0
1292,0
1293,0
1294,0
1295,0
1296,1
1297,2
1298,0
1299,1
1300,1
1301,1
1302,1
1303,2
1304,1
1305,1
1306,0
1307,2
1308,0
1309,1
1310,2
1311,1
1312,2
1313,0
1314,0
1315,1
1316,1
1317,1
1318,2
1319,1
1320,1
1321,1
1322,1
1323,1
1324,1
1325,1
1326,2
1327,2
1328,1
1329,0
1330,0
1331,0
1332,1
1333,2
1334,0
1335,2
1336,1
1337,1
1338,1
1339,1
1340,1
1341,0
1342,0
1343,0
1344,1
1345,1
1346,0
1347,1
1348,1
1349,1
1350,1
1351,0
1352,1
1353,1
1354,2
1355,2
1356,1
1357,0
1358,0
1359,0
1360,1
1361,0
1362,0
1363,1
1364,2
1365,1
1366,0
1367,2
1368,2
1369,1
1370,2
1371,0
1372,1
1373,2
1374,2
1375,2
1376,1
1377,1
1378,1
1379,2
1380,2
1381,2
1382,2
1383,2
1384,2
1385,2
1386,1
1387,1
1388,1
1389,2
1390,1
1391,1
1392,2
1393,1
1394,2
1395,0
1396,1
1397,2
1398,1
1399,1
1400,2
1401,1
1402,2
1403,1
1404,0
1405,1
1406,0
1407,0
1408,1
1409,0
1410,1
1411,1
1412,0
1413,0
1414,0
1415,2
1416,0
1417,0
1418,0
1419,1
1420,0
1421,1
1422,0
1423,0
1424,1
1425,0
1426,0
1427,0
1428,0
1429,0
1430,0
1431,0
1432,0
1433,0
1434,0
1435,0
1436,1
1437,0
1438,0
1439,1
1440,0
1441,2
1442,2
1443,2
1444,2
1445,2
1446,2
1447,0
1448,1
1449,2
1450,1
1451,1
1452,1
1453,2
1454,1
1455,0
1456,1
1457,0
1458,1
1459,0
1460,1
1461,0
1462,0
1463,1
1464,0
1465,1
1466,2
1467,2
1468,1
1469,2
1470,1
1471,1
1472,1
1473,1
1474,1
1475,2
1476,1
1477,1
1478,0
1479,1
1480,1
1481,1
1482,1
1483,1
1484,1
1485,2
1486,1
1487,1
1488,1
1489,1
1490,1
1491,1
1492,1
1493,1
1494,2
1495,1
1496,1
1497,1
1498,0
1499,1
1500,1
1501,0
1502,1
1503,2
1504,1
1505,0
1506,2
1507,1
1508,1
1509,1
1510,1
1511,2
1512,1
1513,1
1514,1
1515,1
1516,2
1517,1
1518,1
1519,0
1520,1
1521,1
1522,2
1523,2
1524,1
1525,2
1526,1
1527,2
1528,1
1529,1
1530,1
1531,1
1532,0
1533,1
1534,1
1535,1
1536,1
1537,1
1538,1
1539,1
1540,0
1541,1
1542,1
1543,0
1544,0
1545,1
1546,2
1547,2
1548,2
1549,2
1550,2
1551,2
1552,1
1553,1
1554,0
1555,1
1556,0
1557,0
1558,1
1559,1
1560,0
1561,1
1562,2
1563,2
1564,0
1565,0
1566,1
1567,0
1568,0
1569,0
1570,1
1571,0
1572,1
1573,0
1574,2
1575,1
1576,2
1577,1
1578,1
1579,1
1580,1
1581,1
1582,1
1583,1
1584,1
1585,1
1586,1
1587,0
1588,0
1589,0
1590,1
1591,1
1592,1
1593,2
1594,1
1595,1
1596,0
1597,0
1598,1
1599,2
1600,2
1601,1
1602,1
1603,2
1604,1
1605,1
1606,1
1607,0
1608,2
1609,1
1610,2
1611,1
1612,2
1613,1
1614,1
1615,1
1616,1
1617,1
1618,1
1619,1
1620,2
1621,0
1622,0
1623,0
1624,2
1625,0
1626,0
1627,0
1628,0
1629,0
1630,0
1631,0
1632,0
1633,0
1634,1
1635,0
1636,0
1637,1
1638,1
1639,1
1640,1
1641,2
1642,0
1643,1
1644,0
1645,1
1646,1
1647,0
1648,0
1649,0
1650,0
1651,0
1652,0
1653,0
1654,0
1655,1
1656,0
1657,1
1658,1
1659,1
1660,0
1661,0
1662,0
1663,1
1664,0
1665,1
1666,0
1667,0
1668,1
1669,0
1670,0
1671,1
1672,0
1673,0
1674,0
1675,0
1676,1
1677,0
1678,0
1679,0
1680,0
1681,0
1682,1
1683,1
1684,0
1685,1
1686,0
1687,1
1688,0
1689,1
1690,1
1691,1
1692,0
1693,1
1694,0
1695,0
1696,0
1697,2
1698,0
1699,0
1700,1
1701,0
1702,1
1703,1
1704,0
1705,1
1706,0
1707,1
1708,0
1709,1
1710,0
1711,0
1712,0
1713,0
1714,1
1715,1
1716,1
1717,1
1718,2
1719,1
1720,1
1721,0
1722,2
1723,2
1724,2
1725,2
1726,1
1727,0
1728,2
1729,1
1730,1
1731,2
1732,1
1733,2
1734,2
1735,2
1736,2
1737,2
1738,1
1739,2
1740,2
1741,1
1742,1
1743,2
1744,2
1745,2
1746,2
1747,1
1748,1
1749,1
1750,1
1751,0
1752,0
1753,1
1754,1
1755,1
1756,1
1757,2
1758,1
1759,1
1760,1
1761,1
1762,2
1763,1
1764,0
1765,0
1766,1
1767,0
1768,0
1769,1
1770,1
1771,1
1772,1
1773,1
1774,1
1775,1
1776,0
1777,1
1778,1
1779,1
1780,0
1781,0
1782,1
1783,1
1784,0
1785,0
1786,1
1787,0
1788,0
1789,1
1790,0
1791,1
1792,1
1793,1
1794,0
1795,1
1796,2
1797,1
1798,1
1799,0
1800,0
1801,1
1802,1
1803,0
1804,1
1805,1
1806,0
1807,1
1808,2
1809,0
1810,2
1811,2
1812,2
1813,2
1814,2
1815,1
1816,2
1817,0
1818,0
1819,2
1820,2
1821,2
1822,1
1823,2
1824,2
1825,2
1826,2
1827,2
1828,2
1829,1
1830,0
1831,2
1832,1
1833,1
1834,2
1835,1
1836,0
1837,1
1838,1
1839,1
1840,1
1841,0
1842,1
1843,1
1844,1
1845,1
1846,1
1847,0
1848,1
1849,0
1850,0
1851,0
1852,0
1853,2
1854,1
1855,1
1856,1
1857,1
1858,2
1859,2
1860,1
1861,1
1862,1
1863,2
1864,0
1865,1
1866,1
1867,1
1868,1
1869,1
1870,1
1871,1
1872,2
1873,1
1874,0
1875,1
1876,0
1877,1
1878,0
1879,1
1880,0
1881,1
1882,1
1883,0
1884,1
1885,1
1886,1
1887,1
1888,0
1889,2
1890,1
1891,1
1892,2
1893,2
1894,1
1895,2
1896,2
1897,1
1898,1
1899,2
1900,1
1901,2
1902,2
1903,2
1904,2
1905,2
1906,2
1907,2
1908,1
1909,1
1910,1
1911,0
1912,0
1913,1
1914,0
1915,0
1916,1
1917,0
1918,1
1919,1
1920,2
1921,1
1922,0
1923,0
1924,1
1925,2
1926,0
1927,1
1928,1
1929,1
1930,1
1931,1
1932,1
1933,0
1934,0
1935,2
1936,0
1937,2
1938,2
1939,2
1940,1
1941,2
1942,1
1943,2
1944,1
1945,1
1946,1
1947,2
1948,1
1949,1
1950,2
1951,1
1952,2
1953,0
1954,1
1955,0
1956,2
1957,1
1958,0
1959,1
1960,1
1961,1
1962,1
1963,1
1964,1
1965,1
1966,2
1967,1
1968,0
1969,2
1970,2
1971,1
1972,2
1973,1
1974,1
1975,1
1976,1
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,1
1985,0
1986,0
1987,1
1988,0
1989,0
1990,0
1991,0
1992,1
1993,0
1994,1
1995,0
1996,0
1997,2
1998,1
1999,0
2000,0
2001,1
2002,1
2003,1
2004,0
2005,0
2006,1
2007,0
2008,0
2009,1
2010,0
2011,0
2012,1
2013,1
2014,0
2015,0
2016,1
2017,1
2018,0
2019,0
2020,0
2021,0
2022,0
2023,1
2024,0
2025,0
2026,0
2027,0
2028,0
2029,1
2030,2
2031,0
2032,0
2033,2
2034,1
2035,0
2036,0
2037,0
2038,0
2039,1
2040,1
2041,2
2042,2
2043,1
2044,1
2045,1
2046,2
2047,2
2048,2
2049,2
2050,2
2051,2
2052,2
2053,2
2054,1
2055,2
2056,2
2057,2
2058,1
2059,1
2060,2
2061,1
2062,2
2063,2
2064,0
2065,2
2066,2
2067,2
2068,2
2069,0
2070,2
2071,2
2072,1
2073,2
2074,2
2075,2
2076,0
2077,2
2078,1
2079,2
2080,2
2081,2
2082,2
2083,1
2084,2
2085,1
2086,2
2087,1
2088,2
2089,2
2090,2
2091,2
2092,2
2093,2
2094,2
2095,2
2096,2
2097,2
2098,1
2099,2
2100,2
2101,1
2102,2
2103,1
2104,2
2105,2
2106,2
2107,2
2108,2
2109,1
2110,2
2111,2
2112,2
2113,2
2114,2
2115,2
2116,2
2117,2
2118,2
2119,2
2120,2
2121,2
2122,2
2123,2
2124,2
2125,2
2126,2
2127,2
2128,1
2129,2
2130,2
2131,2
2132,2
2133,2
2134,2
2135,2
2136,1
2137,1
2138,1
2139,2
2140,2
2141,2
2142,2
2143,2
2144,2
2145,2
2146,2
2147,2
2148,2
2149,2
2150,2
2151,2
2152,2
2153,2
2154,1
2155,2
2156,2
2157,2
2158,1
2159,0
2160,1
2161,2
2162,2
2163,2
2164,2
2165,2
2166,2
2167,1
2168,2
2169,2
2170,1
2171,2
2172,0
2173,2
2174,1
2175,1
2176,0
2177,1
2178,2
2179,1
2180,1
2181,2
2182,2
2183,2
2184,2
2185,2
2186,2
2187,2
2188,2
2189,2
2190,1
2191,0
2192,1
2193,1
2194,2
2195,1
2196,0
2197,1
2198,1
2199,2
2200,1
2201,1
2202,0
2203,2
2204,0
2205,1
2206,1
2207,1
2208,2
2209,2
2210,2
2211,2
2212,1
2213,0
2214,1
2215,1
2216,1
2217,0
2218,0
2219,0
2220,2
2221,0
2222,2
2223,1
2224,1
2225,1
2226,1
2227,0
2228,2
2229,0
2230,1
2231,1
2232,0
2233,1
2234,1
2235,1
2236,1
2237,1
2238,1
2239,0
2240,0
2241,1
2242,0
2243,1
2244,2
2245,0
2246,1
2247,1
2248,1
2249,1
2250,0
2251,0
2252,0
2253,2
2254,1
2255,1
2256,1
2257,1
2258,1
2259,0
2260,0
2261,0
2262,0
2263,1
2264,0
2265,0
2266,1
2267,1
2268,1
2269,1
2270,1
2271,1
2272,1
2273,1
2274,1
2275,1
2276,1
2277,1
2278,0
2279,2
2280,1
2281,0
2282,0
2283,1
2284,2
2285,0
2286,2
2287,1
2288,1
2289,1
2290,0
2291,1
2292,1
2293,2
2294,1
2295,0
2296,0
2297,2
2298,2
2299,1
2300,1
2301,1
2302,1
2303,1
2304,1
2305,1
2306,2
2307,1
2308,1
2309,1
2310,0
2311,2
2312,2
2313,0
2314,1
2315,1
2316,1
2317,0
2318,0
2319,0
2320,0
2321,1
2322,0
2323,0
2324,1
2325,1
2326,1
2327,0
2328,1
2329,1
2330,1
2331,1
2332,1
2333,1
2334,1
2335,0
2336,1
2337,2
2338,1
2339,2
2340,1
2341,2
2342,0
2343,1
2344,0
2345,1
2346,1
2347,2
2348,2
2349,2
2350,0
2351,0
2352,0
2353,0
2354,0
2355,1
2356,1
2357,2
2358,0
2359,1
2360,1
2361,2
2362,0
2363,0
2364,1
2365,1
2366,1
2367,1
2368,1
2369,0
2370,0
2371,0
2372,1
2373,2
