,prediction
964,1
965,0
966,0
967,0
968,0
969,1
970,0
971,1
972,0
973,1
974,0
975,1
976,1
977,0
978,2
979,1
980,1
981,0
982,1
983,1
984,1
985,2
986,1
987,0
988,1
989,1
990,2
991,1
992,2
993,2
994,2
995,2
996,2
997,1
998,2
999,2
1000,2
1001,0
1002,1
1003,1
1004,1
1005,0
1006,1
1007,2
1008,0
1009,2
1010,0
1011,0
1012,1
1013,1
1014,2
1015,1
1016,2
1017,1
1018,1
1019,2
1020,1
1021,2
1022,1
1023,1
1024,1
1025,1
1026,2
1027,0
1028,1
1029,2
1030,1
1031,1
1032,2
1033,2
1034,2
1035,0
1036,2
1037,1
1038,0
1039,2
1040,2
1041,2
1042,0
1043,1
1044,1
1045,0
1046,2
1047,0
1048,2
1049,1
1050,1
1051,0
1052,0
1053,1
1054,0
1055,2
1056,2
1057,2
1058,2
1059,2
1060,1
1061,1
1062,1
1063,1
1064,1
1065,1
1066,1
1067,2
1068,1
1069,1
1070,0
1071,1
1072,0
1073,0
1074,1
1075,1
1076,1
1077,0
1078,1
1079,2
1080,2
1081,1
1082,1
1083,1
1084,1
1085,1
1086,1
1087,1
1088,2
1089,1
1090,0
1091,1
1092,2
1093,1
1094,0
1095,0
1096,1
1097,0
1098,1
1099,1
1100,2
1101,1
1102,2
1103,2
1104,0
1105,0
1106,0
1107,2
1108,1
1109,0
1110,0
1111,0
1112,1
1113,1
1114,1
1115,0
1116,1
1117,0
1118,2
1119,0
1120,1
1121,1
1122,0
1123,1
1124,1
1125,0
1126,1
1127,1
1128,1
1129,0
1130,1
1131,0
1132,1
1133,1
1134,0
1135,1
1136,1
1137,1
1138,0
1139,2
1140,2
1141,1
1142,0
1143,2
1144,1
1145,2
1146,0
1147,0
1148,1
1149,0
1150,2
1151,0
1152,1
1153,2
1154,1
1155,0
1156,0
1157,1
1158,1
1159,1
1160,2
1161,2
1162,1
1163,0
1164,1
1165,1
1166,1
1167,1
1168,1
1169,1
1170,0
1171,1
1172,1
1173,0
1174,0
1175,1
1176,1
1177,1
1178,0
1179,2
1180,2
1181,2
1182,1
1183,0
1184,0
1185,1
1186,0
1187,2
1188,1
1189,1
1190,2
1191,0
1192,1
1193,0
1194,1
1195,0
1196,0
1197,0
1198,1
1199,0
1200,0
1201,1
1202,1
1203,1
1204,0
1205,2
1206,1
1207,0
1208,0
1209,0
1210,0
1211,2
1212,1
1213,1
1214,2
1215,1
1216,1
1217,0
1218,1
1219,2
1220,0
1221,0
1222,2
1223,0
1224,1
1225,0
1226,2
1227,1
1228,1
1229,1
1230,1
1231,1
1232,1
1233,1
1234,1
1235,1
1236,0
1237,1
1238,0
1239,1
1240,1
1241,1
1242,1
1243,1
1244,1
1245,0
1246,0
1247,0
1248,2
1249,2
1250,2
1251,1
1252,1
1253,2
1254,1
1255,0
1256,0
1257,2
1258,1
1259,1
1260,1
1261,1
1262,1
1263,1
1264,1
1265,1
1266,0
1267,2
1268,1
1269,0
1270,2
1271,0
1272,1
1273,0
1274,0
1275,0
1276,1
1277,1
1278,0
1279,2
1280,1
1281,1
1282,2
1283,1
1284,1
1285,2
1286,1
1287,2
1288,0
1289,1
1290,1
1291,1
1292,2
1293,0
1294,0
1295,0
1296,1
1297,0
1298,0
1299,1
1300,0
1301,1
1302,1
1303,1
1304,0
1305,1
1306,0
1307,1
1308,1
1309,1
1310,2
1311,1
1312,1
1313,0
1314,1
1315,0
1316,0
1317,1
1318,2
1319,2
1320,1
1321,1
1322,1
1323,1
1324,2
1325,1
1326,1
1327,1
1328,2
1329,0
1330,0
1331,2
1332,2
1333,1
1334,1
1335,2
1336,1
1337,1
1338,1
1339,2
1340,1
1341,0
1342,1
1343,0
1344,0
1345,0
1346,2
1347,0
1348,1
1349,1
1350,1
1351,0
1352,0
1353,1
1354,2
1355,2
1356,1
1357,0
1358,0
1359,0
1360,0
1361,0
1362,0
1363,0
1364,1
1365,1
1366,1
1367,1
1368,1
1369,1
1370,1
1371,1
1372,1
1373,2
1374,2
1375,2
1376,1
1377,2
1378,2
1379,2
1380,2
1381,2
1382,2
1383,2
1384,2
1385,2
1386,1
1387,1
1388,1
1389,1
1390,2
1391,2
1392,2
1393,0
1394,1
1395,1
1396,2
1397,2
1398,2
1399,2
1400,1
1401,1
1402,2
1403,0
1404,1
1405,2
1406,0
1407,1
1408,1
1409,2
1410,2
1411,2
1412,2
1413,2
1414,2
1415,1
1416,0
1417,0
1418,2
1419,1
1420,1
1421,1
1422,0
1423,1
1424,1
1425,0
1426,0
1427,1
1428,1
1429,0
1430,1
1431,0
1432,1
1433,0
1434,2
1435,0
1436,2
1437,0
1438,0
1439,2
1440,1
1441,2
1442,2
1443,2
1444,2
1445,1
1446,2
1447,0
1448,2
1449,2
1450,1
1451,1
1452,2
1453,1
1454,0
1455,0
1456,2
1457,2
1458,1
1459,0
1460,2
1461,1
1462,1
1463,1
1464,1
1465,1
1466,1
1467,1
1468,1
1469,1
1470,1
1471,2
1472,1
1473,2
1474,1
1475,2
1476,2
1477,1
1478,1
1479,2
1480,1
1481,2
1482,1
1483,1
1484,1
1485,1
1486,2
1487,1
1488,1
1489,2
1490,1
1491,1
1492,2
1493,1
1494,2
1495,1
1496,2
1497,1
1498,1
1499,1
1500,1
1501,1
1502,1
1503,2
1504,1
1505,0
1506,2
1507,1
1508,2
1509,1
1510,1
1511,1
1512,1
1513,1
1514,1
1515,1
1516,1
1517,2
1518,1
1519,1
1520,1
1521,1
1522,2
1523,1
1524,1
1525,1
1526,0
1527,1
1528,1
1529,1
1530,2
1531,1
1532,1
1533,1
1534,1
1535,2
1536,2
1537,1
1538,1
1539,1
1540,1
1541,0
1542,1
1543,1
1544,0
1545,1
1546,2
1547,2
1548,2
1549,2
1550,2
1551,2
1552,1
1553,1
1554,0
1555,1
1556,0
1557,2
1558,2
1559,2
1560,0
1561,2
1562,0
1563,0
1564,1
1565,0
1566,0
1567,0
1568,0
1569,0
1570,1
1571,0
1572,1
1573,0
1574,0
1575,1
1576,1
1577,1
1578,0
1579,1
1580,0
1581,1
1582,0
1583,1
1584,1
1585,1
1586,1
1587,0
1588,0
1589,2
1590,1
1591,1
1592,1
1593,2
1594,1
1595,1
1596,0
1597,0
1598,2
1599,2
1600,2
1601,1
1602,2
1603,2
1604,2
1605,2
1606,2
1607,0
1608,2
1609,1
1610,1
1611,1
1612,0
1613,0
1614,1
1615,1
1616,1
1617,1
1618,1
1619,1
1620,2
1621,0
1622,1
1623,1
1624,2
1625,1
1626,2
1627,0
1628,1
1629,0
1630,0
1631,0
1632,1
1633,2
1634,2
1635,0
1636,1
1637,2
1638,0
1639,1
1640,1
1641,0
1642,1
1643,1
1644,0
1645,1
1646,0
1647,0
1648,0
1649,1
1650,1
1651,0
1652,0
1653,0
1654,0
1655,0
1656,0
1657,1
1658,1
1659,1
1660,0
1661,0
1662,1
1663,0
1664,1
1665,0
1666,0
1667,2
1668,2
1669,0
1670,0
1671,1
1672,1
1673,1
1674,1
1675,0
1676,2
1677,1
1678,0
1679,1
1680,1
1681,2
1682,0
1683,1
1684,0
1685,1
1686,1
1687,0
1688,0
1689,1
1690,1
1691,1
1692,1
1693,0
1694,0
1695,0
1696,0
1697,0
1698,1
1699,0
1700,1
1701,0
1702,1
1703,1
1704,1
1705,0
1706,1
1707,1
1708,1
1709,0
1710,0
1711,0
1712,1
1713,0
1714,0
1715,1
1716,0
1717,1
1718,2
1719,2
1720,2
1721,1
1722,2
1723,2
1724,2
1725,2
1726,0
1727,0
1728,2
1729,2
1730,1
1731,1
1732,1
1733,2
1734,2
1735,2
1736,2
1737,2
1738,0
1739,2
1740,1
1741,2
1742,1
1743,2
1744,1
1745,1
1746,2
1747,0
1748,1
1749,1
1750,2
1751,1
1752,1
1753,1
1754,2
1755,2
1756,1
1757,1
1758,1
1759,1
1760,1
1761,2
1762,2
1763,2
1764,1
1765,1
1766,0
1767,1
1768,1
1769,1
1770,1
1771,1
1772,1
1773,2
1774,1
1775,1
1776,1
1777,1
1778,1
1779,2
1780,1
1781,2
1782,2
1783,2
1784,1
1785,1
1786,1
1787,0
1788,1
1789,1
1790,1
1791,1
1792,1
1793,0
1794,2
1795,0
1796,2
1797,1
1798,1
1799,2
1800,2
1801,1
1802,0
1803,0
1804,0
1805,1
1806,0
1807,2
1808,2
1809,1
1810,2
1811,2
1812,2
1813,1
1814,2
1815,2
1816,2
1817,2
1818,2
1819,2
1820,2
1821,2
1822,2
1823,2
1824,2
1825,2
1826,2
1827,2
1828,2
1829,1
1830,0
1831,2
1832,1
1833,0
1834,0
1835,1
1836,2
1837,2
1838,2
1839,0
1840,1
1841,0
1842,0
1843,0
1844,1
1845,0
1846,0
1847,1
1848,0
1849,2
1850,0
1851,0
1852,1
1853,2
1854,2
1855,2
1856,2
1857,2
1858,2
1859,1
1860,2
1861,1
1862,1
1863,2
1864,1
1865,2
1866,1
1867,1
1868,1
1869,1
1870,1
1871,2
1872,1
1873,1
1874,2
1875,1
1876,2
1877,2
1878,2
1879,1
1880,1
1881,1
1882,2
1883,0
1884,1
1885,1
1886,1
1887,2
1888,0
1889,2
1890,0
1891,0
1892,2
1893,2
1894,2
1895,2
1896,2
1897,1
1898,1
1899,0
1900,1
1901,2
1902,2
1903,2
1904,0
1905,2
1906,2
1907,2
1908,1
1909,0
1910,0
1911,1
1912,1
1913,0
1914,1
1915,2
1916,0
1917,1
1918,1
1919,1
1920,2
1921,1
1922,0
1923,2
1924,0
1925,2
1926,0
1927,1
1928,0
1929,2
1930,1
1931,1
1932,1
1933,0
1934,2
1935,1
1936,0
1937,2
1938,2
1939,1
1940,1
1941,2
1942,0
1943,0
1944,1
1945,1
1946,1
1947,2
1948,1
1949,0
1950,2
1951,2
1952,2
1953,1
1954,1
1955,0
1956,2
1957,1
1958,0
1959,1
1960,1
1961,2
1962,0
1963,2
1964,1
1965,2
1966,0
1967,2
1968,0
1969,2
1970,1
1971,2
1972,2
1973,2
1974,2
1975,2
1976,0
1977,0
1978,0
1979,1
1980,0
1981,0
1982,0
1983,2
1984,1
1985,1
1986,2
1987,0
1988,2
1989,1
1990,0
1991,1
1992,2
1993,0
1994,0
1995,1
1996,2
1997,1
1998,0
1999,0
2000,1
2001,1
2002,2
2003,0
2004,0
2005,0
2006,1
2007,0
2008,0
2009,0
2010,1
2011,1
2012,0
2013,1
2014,0
2015,1
2016,1
2017,1
2018,0
2019,0
2020,0
2021,0
2022,2
2023,1
2024,0
2025,1
2026,0
2027,0
2028,0
2029,1
2030,1
2031,2
2032,0
2033,2
2034,2
2035,1
2036,1
2037,1
2038,0
2039,2
2040,1
2041,1
2042,0
2043,1
2044,1
2045,2
2046,1
2047,1
2048,2
2049,1
2050,0
2051,2
2052,2
2053,1
2054,2
2055,1
2056,2
2057,2
2058,2
2059,0
2060,2
2061,1
2062,2
2063,2
2064,1
2065,1
2066,2
2067,2
2068,2
2069,0
2070,2
2071,1
2072,1
2073,2
2074,1
2075,2
2076,0
2077,2
2078,1
2079,2
2080,2
2081,2
2082,2
2083,2
2084,2
2085,1
2086,1
2087,2
2088,2
2089,2
2090,2
2091,2
2092,1
2093,1
2094,2
2095,2
2096,2
2097,2
2098,1
2099,2
2100,2
2101,2
2102,2
2103,2
2104,2
2105,2
2106,2
2107,2
2108,2
2109,2
2110,2
2111,2
2112,2
2113,2
2114,2
2115,2
2116,2
2117,2
2118,2
2119,2
2120,2
2121,2
2122,2
2123,2
2124,2
2125,2
2126,2
2127,2
2128,2
2129,2
2130,2
2131,2
2132,1
2133,2
2134,2
2135,2
2136,2
2137,2
2138,1
2139,2
2140,1
2141,2
2142,2
2143,2
2144,2
2145,2
2146,2
2147,2
2148,2
2149,2
2150,2
2151,2
2152,2
2153,2
2154,1
2155,2
2156,1
2157,1
2158,0
2159,0
2160,1
2161,2
2162,2
2163,2
2164,2
2165,2
2166,2
2167,2
2168,2
2169,1
2170,2
2171,2
2172,1
2173,2
2174,0
2175,2
2176,0
2177,2
2178,2
2179,1
2180,2
2181,2
2182,2
2183,2
2184,2
2185,2
2186,2
2187,2
2188,2
2189,1
2190,1
2191,1
2192,0
2193,1
2194,1
2195,2
2196,1
2197,1
2198,1
2199,1
2200,0
2201,1
2202,0
2203,2
2204,1
2205,1
2206,2
2207,2
2208,0
2209,2
2210,1
2211,0
2212,1
2213,0
2214,1
2215,0
2216,0
2217,1
2218,0
2219,0
2220,1
2221,1
2222,1
2223,0
2224,2
2225,2
2226,1
2227,1
2228,1
2229,0
2230,1
2231,1
2232,0
2233,2
2234,1
2235,2
2236,2
2237,2
2238,1
2239,0
2240,1
2241,1
2242,0
2243,1
2244,1
2245,1
2246,0
2247,1
2248,1
2249,0
2250,1
2251,0
2252,1
2253,2
2254,1
2255,2
2256,1
2257,1
2258,1
2259,1
2260,1
2261,1
2262,1
2263,1
2264,0
2265,0
2266,1
2267,1
2268,1
2269,2
2270,1
2271,2
2272,1
2273,1
2274,1
2275,1
2276,1
2277,0
2278,1
2279,1
2280,1
2281,1
2282,1
2283,1
2284,2
2285,2
2286,1
2287,1
2288,1
2289,2
2290,1
2291,1
2292,2
2293,2
2294,0
2295,1
2296,0
2297,1
2298,2
2299,1
2300,2
2301,1
2302,1
2303,0
2304,1
2305,0
2306,1
2307,1
2308,1
2309,2
2310,2
2311,2
2312,1
2313,0
2314,0
2315,1
2316,1
2317,1
2318,0
2319,1
2320,2
2321,0
2322,0
2323,2
2324,2
2325,0
2326,1
2327,0
2328,1
2329,2
2330,1
2331,1
2332,1
2333,0
2334,1
2335,2
2336,1
2337,0
2338,1
2339,2
2340,2
2341,2
2342,2
2343,1
2344,2
2345,1
2346,1
2347,2
2348,1
2349,1
2350,0
2351,2
2352,1
2353,1
2354,1
2355,0
2356,2
2357,1
2358,0
2359,2
2360,0
2361,1
2362,0
2363,0
2364,0
2365,0
2366,0
2367,1
2368,1
2369,1
2370,1
2371,0
2372,1
2373,1
